Geneid	Sample	Source	Stage	Tissue	Logcpm
ENSG00000129824	AA_Colon	A	Adult	Colon	6.116076691096874
ENSG00000067646	AA_Colon	A	Adult	Colon	4.886844257039704
ENSG00000231535	AA_Colon	A	Adult	Colon	3.124439240624799
ENSG00000099725	AA_Colon	A	Adult	Colon	3.548613828980386
ENSG00000233864	AA_Colon	A	Adult	Colon	3.7295655499143816
ENSG00000114374	AA_Colon	A	Adult	Colon	5.667957679802815
ENSG00000067048	AA_Colon	A	Adult	Colon	5.62002622610549
ENSG00000183878	AA_Colon	A	Adult	Colon	6.054829235725816
ENSG00000165246	AA_Colon	A	Adult	Colon	2.3097774202033685
ENSG00000176728	AA_Colon	A	Adult	Colon	2.521027102423605
ENSG00000185275	AA_Colon	A	Adult	Colon	6.4518693690265705
ENSG00000131002	AA_Colon	A	Adult	Colon	6.5521852074321965
ENSG00000012817	AA_Colon	A	Adult	Colon	5.541981072238724
ENSG00000198692	AA_Colon	A	Adult	Colon	4.431099349412816
ENSG00000129824	AA_Heart	A	Adult	Heart	0
ENSG00000067646	AA_Heart	A	Adult	Heart	0
ENSG00000231535	AA_Heart	A	Adult	Heart	0
ENSG00000099725	AA_Heart	A	Adult	Heart	0
ENSG00000233864	AA_Heart	A	Adult	Heart	0
ENSG00000114374	AA_Heart	A	Adult	Heart	0
ENSG00000067048	AA_Heart	A	Adult	Heart	0.06720034653219056
ENSG00000183878	AA_Heart	A	Adult	Heart	0.1314093387699613
ENSG00000165246	AA_Heart	A	Adult	Heart	0
ENSG00000176728	AA_Heart	A	Adult	Heart	0
ENSG00000185275	AA_Heart	A	Adult	Heart	0.308486743827728
ENSG00000131002	AA_Heart	A	Adult	Heart	0.06720034653219056
ENSG00000012817	AA_Heart	A	Adult	Heart	0
ENSG00000198692	AA_Heart	A	Adult	Heart	0
ENSG00000129824	AA_Kidney	A	Adult	Kidney	0.10553110548991215
ENSG00000067646	AA_Kidney	A	Adult	Kidney	0
ENSG00000231535	AA_Kidney	A	Adult	Kidney	0
ENSG00000099725	AA_Kidney	A	Adult	Kidney	0
ENSG00000233864	AA_Kidney	A	Adult	Kidney	0
ENSG00000114374	AA_Kidney	A	Adult	Kidney	0.10553110548991215
ENSG00000067048	AA_Kidney	A	Adult	Kidney	0
ENSG00000183878	AA_Kidney	A	Adult	Kidney	0
ENSG00000165246	AA_Kidney	A	Adult	Kidney	0
ENSG00000176728	AA_Kidney	A	Adult	Kidney	0
ENSG00000185275	AA_Kidney	A	Adult	Kidney	5.994610321711731
ENSG00000131002	AA_Kidney	A	Adult	Kidney	0
ENSG00000012817	AA_Kidney	A	Adult	Kidney	0
ENSG00000198692	AA_Kidney	A	Adult	Kidney	0
ENSG00000129824	AA_Liver	A	Adult	Liver	1.7479397472355045
ENSG00000067646	AA_Liver	A	Adult	Liver	1.0158832166214633
ENSG00000231535	AA_Liver	A	Adult	Liver	0.0556303341041811
ENSG00000099725	AA_Liver	A	Adult	Liver	0.21070352904196205
ENSG00000233864	AA_Liver	A	Adult	Liver	0.5184787832503825
ENSG00000114374	AA_Liver	A	Adult	Liver	1.5683506515406347
ENSG00000067048	AA_Liver	A	Adult	Liver	2.2312575657355516
ENSG00000183878	AA_Liver	A	Adult	Liver	2.1945572491378265
ENSG00000165246	AA_Liver	A	Adult	Liver	0.3055369987760071
ENSG00000176728	AA_Liver	A	Adult	Liver	0.3055369987760071
ENSG00000185275	AA_Liver	A	Adult	Liver	3.0620437609712887
ENSG00000131002	AA_Liver	A	Adult	Liver	2.1182311549788215
ENSG00000012817	AA_Liver	A	Adult	Liver	1.5683506515406347
