AA_Colon	AA_Heart	AA_Kidney	AA_Liver	AA_Lung	AA_Stomach
1	0	0	0	0	0
36	21	32	28	17	17
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
3	0	1	2	1	0
0	0	0	0	0	0
0	0	0	0	0	1
5	5	4	31	8	5
0	0	1	0	1	0
0	0	0	0	0	0
0	0	0	1	0	1
4	4	3	4	9	5
0	0	0	0	0	0
5	1	1	0	0	1
1	3	5	3	1	0
0	0	0	0	0	0
0	1	0	2	1	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	1	0	0	2	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	3	0	0
0	0	0	0	0	0
6	17	16	68	2	468
11	10114	36	13	1	48
240	1846	1034	378	28	599
10	32	29	9	5	37
0	2	0	3	0	2
7	38	26	7	3	20
638	1744	1518	702	41	808
0	0	0	0	0	0
0	0	0	0	0	0
2	1	0	6	0	1
2	0	1	9	0	4
3	2	1	2	3	1
2	0	0	1	0	0
0	0	0	0	0	0
0	0	0	0	0	0
12	9	8	10	5	9
73	11	13	34	11	17
47	12	22	11	12	37
1	1	0	0	1	2
5	0	0	0	0	0
2	2	1	14	2	5
8	4	1	11	7	8
71	232	59	205	44	68
0	0	1	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	1	0	0	0
0	0	3	0	2	1
0	0	0	0	0	0
11	2	4	29	6	13
40	7	17	52	16	22
0	0	0	0	1	0
381	541	533	615	315	461
48	32	45	62	25	25
3	2	11	12	8	11
2	203	3	18	0	2
6	6	3	1	1	7
30	106	14	25	53	17
1	0	1	1	0	0
0	1	0	1	0	0
163	59	28	130	95	651
267	191	1483	970	624	580
0	0	0	0	0	0
8	1	7	13	2	7
0	0	0	1	0	0
13	0	4	0	2	62
79	31	38	67	24	37
3	0	6	4	0	4
5	0	2	0	1	0
0	0	0	0	0	0
7	0	1	2	0	4
63	0	9	0	1	37
4	0	1	0	4	0
1	4	0	1	12	4
15	0	0	9	4	4
14	59	1	6	7	6
913	1019	1362	2062	748	915
78	141	107	200	122	105
11	0	6	3	2	7
0	0	2	0	4	1
230	186	348	326	199	210
3	0	0	7	1	3
7	5	7	30	4	11
290	229	384	592	222	298
34	64	59	103	60	31
430	575	483	714	324	582
