Geneid	Chr	Start	End	Strand	Length
ENSG00000223972	chr1	11869	12227	+	1756
ENSG00000227232	chr1	14363	14829	-	2073
ENSG00000243485	chr1	29554	30039	+	1021
ENSG00000237613	chr1	34554	35174	-	1219
ENSG00000268020	chr1	52473	53312	+	947
ENSG00000240361	chr1	62948	63887	+	940
ENSG00000186092	chr1	69091	70008	+	918
ENSG00000238009	chr1	89295	91629	-	3569
ENSG00000239945	chr1	89551	90050	-	1319
ENSG00000233750	chr1	131025	134836	+	3812
ENSG00000237683	chr1	134901	135802	-	2661
ENSG00000268903	chr1	135141	135895	-	755
ENSG00000269981	chr1	137682	137965	-	284
ENSG00000239906	chr1	139790	139847	-	323
ENSG00000241860	chr1	141474	143011	-	6195
ENSG00000222623	chr1	157784	157887	-	104
ENSG00000241599	chr1	160446	160690	+	457
ENSG00000228463	chr1	227615	228776	-	3954
ENSG00000241670	chr1	228292	228775	-	484
ENSG00000237094	chr1	317720	317781	+	6869
ENSG00000250575	chr1	326096	326569	+	1239
ENSG00000233653	chr1	329431	329620	-	2477
ENSG00000224813	chr1	334126	334305	+	180
ENSG00000235249	chr1	367640	368634	+	995
ENSG00000269732	chr1	379105	379467	-	363
ENSG00000256186	chr1	450820	450852	-	90
ENSG00000236601	chr1	453633	454166	-	635
ENSG00000236743	chr1	459656	459992	+	676
ENSG00000236679	chr1	470971	471355	+	385
ENSG00000231709	chr1	521369	521738	-	842
ENSG00000235146	chr1	523009	523109	+	635
ENSG00000239664	chr1	529833	530136	-	639
ENSG00000230021	chr1	536816	536957	-	1697
ENSG00000223659	chr1	562757	563203	-	802
ENSG00000225972	chr1	564442	564813	+	372
ENSG00000225630	chr1	565020	566063	+	1044
ENSG00000237973	chr1	566454	567996	+	1543
ENSG00000229344	chr1	568137	568818	+	682
ENSG00000240409	chr1	568915	569121	+	207
ENSG00000248527	chr1	569076	569756	+	681
ENSG00000198744	chr1	569756	570302	+	547
ENSG00000268663	chr1	610222	610645	+	424
ENSG00000185097	chr1	621059	622053	-	995
ENSG00000229376	chr1	657472	659740	+	2455
ENSG00000224956	chr1	661611	662372	-	1236
ENSG00000235373	chr1	677193	678730	-	4860
ENSG00000223181	chr1	693613	693716	-	104
ENSG00000240618	chr1	694412	694503	-	295
ENSG00000229905	chr1	696291	696534	+	456
ENSG00000228327	chr1	700237	700627	-	1317
ENSG00000237491	chr1	714150	714472	+	5517
ENSG00000230092	chr1	736259	736543	-	523
ENSG00000269831	chr1	738532	738618	-	129
ENSG00000240453	chr1	745489	745550	-	402
ENSG00000177757	chr1	752751	753582	+	1944
ENSG00000225880	chr1	761586	762902	-	1317
ENSG00000228794	chr1	762988	763155	+	8525
ENSG00000230368	chr1	803451	804055	-	1971
ENSG00000234711	chr1	808672	809729	+	1058
ENSG00000269308	chr1	818043	818058	+	57
ENSG00000272438	chr1	840214	840337	+	351
ENSG00000230699	chr1	846815	846853	+	3043
ENSG00000241180	chr1	849551	849824	+	443
ENSG00000223764	chr1	852245	856396	-	4152
ENSG00000187634	chr1	860260	860328	+	3205
ENSG00000268179	chr1	861264	861406	-	336
ENSG00000188976	chr1	879584	880180	-	5539
ENSG00000187961	chr1	895967	896180	+	3395
ENSG00000187583	chr1	901877	901994	+	2833
ENSG00000187642	chr1	910579	911649	-	3081
ENSG00000272512	chr1	931346	933431	-	2086
ENSG00000188290	chr1	934342	934812	-	1118
ENSG00000231702	chr1	943456	943609	-	154
ENSG00000224969	chr1	947377	947570	-	471
ENSG00000187608	chr1	948803	948956	+	711
ENSG00000188157	chr1	955503	955753	+	10756
ENSG00000242590	chr1	990413	990595	+	402
ENSG00000217801	chr1	995114	995226	+	2171
ENSG00000273443	chr1	997588	998188	-	829
ENSG00000237330	chr1	1006346	1007955	-	1902
ENSG00000131591	chr1	1017198	1019886	-	6322
ENSG00000223823	chr1	1072397	1072490	+	1620
ENSG00000207730	chr1	1102484	1102578	+	95
ENSG00000207607	chr1	1103243	1103332	+	90
ENSG00000198976	chr1	1104385	1104467	+	83
ENSG00000272141	chr1	1104737	1105723	+	987
ENSG00000205231	chr1	1108436	1111776	-	3532
ENSG00000162571	chr1	1109264	1109306	+	3943
ENSG00000186891	chr1	1138888	1139348	-	1370
ENSG00000186827	chr1	1146706	1147212	-	1721
ENSG00000078808	chr1	1152288	1153184	-	4709
ENSG00000176022	chr1	1167629	1170421	+	2793
ENSG00000184163	chr1	1177826	1178026	-	1794
ENSG00000260179	chr1	1185157	1186714	-	1558
ENSG00000160087	chr1	1189289	1190867	-	4712
